ENSRNOG00000004317	ENSRNOG00000004060
ENSRNOG00000004332	ENSRNOG00000003442
ENSRNOG00000004332	ENSRNOG00000003990
ENSRNOG00000004359	ENSRNOG00000001142
ENSRNOG00000004359	ENSRNOG00000001849
ENSRNOG00000004477	ENSRNOG00000003117
ENSRNOG00000004496	ENSRNOG00000001849
ENSRNOG00000004554	ENSRNOG00000000805
ENSRNOG00000004560	ENSRNOG00000001862
ENSRNOG00000004560	ENSRNOG00000004518
ENSRNOG00000004610	ENSRNOG00000000805
ENSRNOG00000004613	ENSRNOG00000003476
ENSRNOG00000004616	ENSRNOG00000001129
ENSRNOG00000004616	ENSRNOG00000001142
ENSRNOG00000004621	ENSRNOG00000001129
ENSRNOG00000004639	ENSRNOG00000003147
ENSRNOG00000004794	ENSRNOG00000004621
ENSRNOG00000004813	ENSRNOG00000001142
ENSRNOG00000004813	ENSRNOG00000001849
ENSRNOG00000004873	ENSRNOG00000003147
ENSRNOG00000004900	ENSRNOG00000004060
ENSRNOG00000004936	ENSRNOG00000004013
ENSRNOG00000004959	ENSRNOG00000000805
ENSRNOG00000004992	ENSRNOG00000003875
ENSRNOG00000005007	ENSRNOG00000002886
ENSRNOG00000005007	ENSRNOG00000004060
ENSRNOG00000005015	ENSRNOG00000001849
ENSRNOG00000005018	ENSRNOG00000002886
ENSRNOG00000005018	ENSRNOG00000004060
ENSRNOG00000005053	ENSRNOG00000004287
ENSRNOG00000005061	ENSRNOG00000000805
ENSRNOG00000005063	ENSRNOG00000001849
ENSRNOG00000005108	ENSRNOG00000004060
ENSRNOG00000005130	ENSRNOG00000000805
ENSRNOG00000005133	ENSRNOG00000000938
ENSRNOG00000005133	ENSRNOG00000001285
ENSRNOG00000005133	ENSRNOG00000001303
ENSRNOG00000005133	ENSRNOG00000001368
ENSRNOG00000005133	ENSRNOG00000001436
ENSRNOG00000005133	ENSRNOG00000001494
ENSRNOG00000005133	ENSRNOG00000001640
ENSRNOG00000005133	ENSRNOG00000001709
ENSRNOG00000005133	ENSRNOG00000001719
ENSRNOG00000005133	ENSRNOG00000001813
ENSRNOG00000005133	ENSRNOG00000001849
ENSRNOG00000005133	ENSRNOG00000001991
ENSRNOG00000005133	ENSRNOG00000002051
ENSRNOG00000005133	ENSRNOG00000002419
ENSRNOG00000005133	ENSRNOG00000002636
ENSRNOG00000005133	ENSRNOG00000002778
ENSRNOG00000005133	ENSRNOG00000002833
ENSRNOG00000005133	ENSRNOG00000002840
ENSRNOG00000005133	ENSRNOG00000002886
ENSRNOG00000005133	ENSRNOG00000002919
ENSRNOG00000005133	ENSRNOG00000002934
ENSRNOG00000005133	ENSRNOG00000003084
ENSRNOG00000005133	ENSRNOG00000003134
ENSRNOG00000005133	ENSRNOG00000003195
ENSRNOG00000005133	ENSRNOG00000003689
ENSRNOG00000005133	ENSRNOG00000003741
ENSRNOG00000005133	ENSRNOG00000003905
ENSRNOG00000005133	ENSRNOG00000004049
ENSRNOG00000005133	ENSRNOG00000004291
ENSRNOG00000005133	ENSRNOG00000004756
ENSRNOG00000005133	ENSRNOG00000004781
ENSRNOG00000005133	ENSRNOG00000004807
ENSRNOG00000005133	ENSRNOG00000004978
ENSRNOG00000005257	ENSRNOG00000001849
ENSRNOG00000005257	ENSRNOG00000004841
ENSRNOG00000005260	ENSRNOG00000000805
ENSRNOG00000005275	ENSRNOG00000000805
ENSRNOG00000005284	ENSRNOG00000004060
ENSRNOG00000005290	ENSRNOG00000003280
ENSRNOG00000005290	ENSRNOG00000004060
ENSRNOG00000005290	ENSRNOG00000005133
ENSRNOG00000005330	ENSRNOG00000000715
ENSRNOG00000005330	ENSRNOG00000002607
ENSRNOG00000005389	ENSRNOG00000000805
ENSRNOG00000005389	ENSRNOG00000004841
ENSRNOG00000005392	ENSRNOG00000004639
ENSRNOG00000005428	ENSRNOG00000001130
ENSRNOG00000005428	ENSRNOG00000004444
ENSRNOG00000005438	ENSRNOG00000001142
ENSRNOG00000005465	ENSRNOG00000002657
ENSRNOG00000005479	ENSRNOG00000005133
ENSRNOG00000005513	ENSRNOG00000001849
ENSRNOG00000005538	ENSRNOG00000004477
ENSRNOG00000005587	ENSRNOG00000000805
ENSRNOG00000005587	ENSRNOG00000001849
ENSRNOG00000005602	ENSRNOG00000000805
ENSRNOG00000005630	ENSRNOG00000005133
ENSRNOG00000005639	ENSRNOG00000000477
ENSRNOG00000005642	ENSRNOG00000003990
ENSRNOG00000005662	ENSRNOG00000004060
ENSRNOG00000005723	ENSRNOG00000005389
ENSRNOG00000005724	ENSRNOG00000003643
ENSRNOG00000005724	ENSRNOG00000004639
ENSRNOG00000005798	ENSRNOG00000001130
ENSRNOG00000005877	ENSRNOG00000000805
ENSRNOG00000005917	ENSRNOG00000001129
ENSRNOG00000005958	ENSRNOG00000001142
ENSRNOG00000005985	ENSRNOG00000002657
ENSRNOG00000006001	ENSRNOG00000001129
ENSRNOG00000006030	ENSRNOG00000000483
ENSRNOG00000006037	ENSRNOG00000005133
ENSRNOG00000006067	ENSRNOG00000000805
ENSRNOG00000006090	ENSRNOG00000004900
ENSRNOG00000006094	ENSRNOG00000001129
ENSRNOG00000006116	ENSRNOG00000000805
ENSRNOG00000006178	ENSRNOG00000000805
ENSRNOG00000006178	ENSRNOG00000001142
ENSRNOG00000006178	ENSRNOG00000005133
ENSRNOG00000006228	ENSRNOG00000006104
ENSRNOG00000006237	ENSRNOG00000005133
ENSRNOG00000006238	ENSRNOG00000005392
ENSRNOG00000006247	ENSRNOG00000001129
ENSRNOG00000006304	ENSRNOG00000002525
ENSRNOG00000006304	ENSRNOG00000002866
ENSRNOG00000006304	ENSRNOG00000003256
ENSRNOG00000006364	ENSRNOG00000000805
ENSRNOG00000006375	ENSRNOG00000000805
ENSRNOG00000006375	ENSRNOG00000001142
ENSRNOG00000006388	ENSRNOG00000005133
ENSRNOG00000006410	ENSRNOG00000001849
ENSRNOG00000006410	ENSRNOG00000003491
ENSRNOG00000006410	ENSRNOG00000004060
ENSRNOG00000006410	ENSRNOG00000004873
ENSRNOG00000006545	ENSRNOG00000005133
ENSRNOG00000006557	ENSRNOG00000001129
ENSRNOG00000006589	ENSRNOG00000005133
ENSRNOG00000006639	ENSRNOG00000002886
ENSRNOG00000006695	ENSRNOG00000005330
ENSRNOG00000006720	ENSRNOG00000005133
ENSRNOG00000006733	ENSRNOG00000005133
ENSRNOG00000006761	ENSRNOG00000002051
ENSRNOG00000006787	ENSRNOG00000001129
ENSRNOG00000006803	ENSRNOG00000000805
ENSRNOG00000006957	ENSRNOG00000000483
ENSRNOG00000006957	ENSRNOG00000002886
ENSRNOG00000006957	ENSRNOG00000002934
ENSRNOG00000006957	ENSRNOG00000003049
ENSRNOG00000006957	ENSRNOG00000005284
ENSRNOG00000006957	ENSRNOG00000005290
ENSRNOG00000006975	ENSRNOG00000002001
ENSRNOG00000006989	ENSRNOG00000003476
ENSRNOG00000006990	ENSRNOG00000000902
ENSRNOG00000006997	ENSRNOG00000001269
ENSRNOG00000006997	ENSRNOG00000005392
ENSRNOG00000007029	ENSRNOG00000001849
ENSRNOG00000007031	ENSRNOG00000005133
ENSRNOG00000007090	ENSRNOG00000005551
ENSRNOG00000007104	ENSRNOG00000004060
ENSRNOG00000007104	ENSRNOG00000005133
ENSRNOG00000007104	ENSRNOG00000005434
ENSRNOG00000007152	ENSRNOG00000000697
ENSRNOG00000007152	ENSRNOG00000001409
ENSRNOG00000007152	ENSRNOG00000002251
ENSRNOG00000007229	ENSRNOG00000005343
ENSRNOG00000007237	ENSRNOG00000000632
ENSRNOG00000007237	ENSRNOG00000003491
ENSRNOG00000007237	ENSRNOG00000005257
ENSRNOG00000007249	ENSRNOG00000002546
ENSRNOG00000007281	ENSRNOG00000000805
ENSRNOG00000007290	ENSRNOG00000000805
ENSRNOG00000007290	ENSRNOG00000004026
ENSRNOG00000007290	ENSRNOG00000005133
