ENSRNOP00000018025	ENSRNOP00000014704
ENSRNOP00000018025	ENSRNOP00000015102
ENSRNOP00000018025	ENSRNOP00000015406
ENSRNOP00000018025	ENSRNOP00000015632
ENSRNOP00000018025	ENSRNOP00000016073
ENSRNOP00000018025	ENSRNOP00000016217
ENSRNOP00000018025	ENSRNOP00000016514
ENSRNOP00000018025	ENSRNOP00000017060
ENSRNOP00000018025	ENSRNOP00000017065
ENSRNOP00000018025	ENSRNOP00000017076
ENSRNOP00000018025	ENSRNOP00000017187
ENSRNOP00000018025	ENSRNOP00000017448
ENSRNOP00000018025	ENSRNOP00000017485
ENSRNOP00000018025	ENSRNOP00000017889
ENSRNOP00000018025	ENSRNOP00000017911
ENSRNOP00000018025	ENSRNOP00000017965
ENSRNOP00000018025	ENSRNOP00000018005
ENSRNOP00000018042	ENSRNOP00000001054
ENSRNOP00000018074	ENSRNOP00000001054
ENSRNOP00000018339	ENSRNOP00000001508
ENSRNOP00000018462	ENSRNOP00000001054
ENSRNOP00000018545	ENSRNOP00000000477
ENSRNOP00000018599	ENSRNOP00000001054
ENSRNOP00000018637	ENSRNOP00000001054
ENSRNOP00000018685	ENSRNOP00000018025
ENSRNOP00000018820	ENSRNOP00000001054
ENSRNOP00000018864	ENSRNOP00000001508
ENSRNOP00000018970	ENSRNOP00000018025
ENSRNOP00000018973	ENSRNOP00000008150
ENSRNOP00000018973	ENSRNOP00000012495
ENSRNOP00000019174	ENSRNOP00000006162
ENSRNOP00000019180	ENSRNOP00000018025
ENSRNOP00000019214	ENSRNOP00000009979
ENSRNOP00000019267	ENSRNOP00000002550
ENSRNOP00000019319	ENSRNOP00000009979
ENSRNOP00000019319	ENSRNOP00000015437
ENSRNOP00000019319	ENSRNOP00000017322
ENSRNOP00000019386	ENSRNOP00000018025
ENSRNOP00000019393	ENSRNOP00000001508
ENSRNOP00000019403	ENSRNOP00000008659
ENSRNOP00000019403	ENSRNOP00000017157
ENSRNOP00000019579	ENSRNOP00000011864
ENSRNOP00000019579	ENSRNOP00000018025
ENSRNOP00000019689	ENSRNOP00000006188
ENSRNOP00000020005	ENSRNOP00000007662
ENSRNOP00000020304	ENSRNOP00000002550
ENSRNOP00000020304	ENSRNOP00000013272
ENSRNOP00000020304	ENSRNOP00000013900
ENSRNOP00000020322	ENSRNOP00000001054
ENSRNOP00000020478	ENSRNOP00000001054
ENSRNOP00000020580	ENSRNOP00000018025
ENSRNOP00000020603	ENSRNOP00000005615
ENSRNOP00000020603	ENSRNOP00000009100
ENSRNOP00000020603	ENSRNOP00000013608
ENSRNOP00000020603	ENSRNOP00000014250
ENSRNOP00000020603	ENSRNOP00000017911
ENSRNOP00000020635	ENSRNOP00000001508
ENSRNOP00000020662	ENSRNOP00000018025
ENSRNOP00000020675	ENSRNOP00000001054
ENSRNOP00000020919	ENSRNOP00000001054
ENSRNOP00000020951	ENSRNOP00000009564
ENSRNOP00000020951	ENSRNOP00000014320
ENSRNOP00000021073	ENSRNOP00000020603
ENSRNOP00000021285	ENSRNOP00000001500
ENSRNOP00000021285	ENSRNOP00000005228
ENSRNOP00000021285	ENSRNOP00000008285
ENSRNOP00000021285	ENSRNOP00000008416
ENSRNOP00000021285	ENSRNOP00000010673
ENSRNOP00000021480	ENSRNOP00000018025
ENSRNOP00000021715	ENSRNOP00000018025
ENSRNOP00000021752	ENSRNOP00000019689
ENSRNOP00000022401	ENSRNOP00000014785
ENSRNOP00000022487	ENSRNOP00000001054
ENSRNOP00000022628	ENSRNOP00000001054
ENSRNOP00000022895	ENSRNOP00000001054
ENSRNOP00000022938	ENSRNOP00000018025
ENSRNOP00000023037	ENSRNOP00000000072
ENSRNOP00000023037	ENSRNOP00000001054
