Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	NCBI gene (formerly Entrezgene) ID
YJL102W	YJL102W_mRNA	YJL102W	MEF2	853342
YNL336W	YNL336W_mRNA	YNL336W	COS1	855380
YGL006W	YGL006W_mRNA	YGL006W	PMC1	852878
YDR217C	YDR217C_mRNA	YDR217C	RAD9	851803
YMR194C-A	YMR194C-A_mRNA	YMR194C-A		
YKL033W	YKL033W_mRNA	YKL033W	TTI1	853834
YOR223W	YOR223W_mRNA	YOR223W	DSC3	854398
YOR032W-A	YOR032W-A_mRNA	YOR032W-A		1466481
YBR260C	YBR260C_mRNA	YBR260C	RGD1	852563
YLR359W	YLR359W_mRNA	YLR359W	ADE13	851073
YHR062C	YHR062C_mRNA	YHR062C	RPP1	856459
YDR022C	YDR022C_mRNA	YDR022C		851585
YDR459C	YDR459C_mRNA	YDR459C	PFA5	852070
YNL184C	YNL184C_mRNA	YNL184C		855537
YDR293C	YDR293C_mRNA	YDR293C	SSD1	851887
YPL195W	YPL195W_mRNA	YPL195W	APL5	855906
YMR173W	YMR173W_mRNA	YMR173W	DDR48	855210
YDR374W-A	YDR374W-A_mRNA	YDR374W-A	WIP1	3799971
YAL007C	YAL007C_mRNA	YAL007C	ERP2	851226
YGL235W	YGL235W_mRNA	YGL235W		852615
YGL134W	YGL134W_mRNA	YGL134W	PCL10	852743
YER001W	YER001W_mRNA	YER001W	MNN1	856718
YDR366C	YDR366C_mRNA	YDR366C		851972
YHR023W	YHR023W_mRNA	YHR023W	MYO1	856418
tI(AAU)E2	tI(AAU)E2_tRNA			
YDR430C	YDR430C_mRNA	YDR430C	CYM1	852041
YGR002C	YGR002C_mRNA	YGR002C	SWC4	852885
YNL220W	YNL220W_mRNA	YNL220W	ADE12	855501
YBR109W-A	YBR109W-A_mRNA	YBR109W-A		
YHR110W	YHR110W_mRNA	YHR110W	ERP5	856510
YKL136W	YKL136W_mRNA	YKL136W		
YLL067C	YLL067C_mRNA	YLL067C		
YPL078C	YPL078C_mRNA	YPL078C	ATP4	856027
YBR073W	YBR073W_mRNA	YBR073W	RDH54	852365
YPL119C	YPL119C_mRNA	YPL119C	DBP1	855984
YOR135C	YOR135C_mRNA	YOR135C	IRC14	
YPL212C	YPL212C_mRNA	YPL212C	PUS1	855889
snR60	snR60_snoRNA			
tE(UUC)G3	tE(UUC)G3_tRNA			
YGL179C	YGL179C_mRNA	YGL179C	TOS3	852696
YNL159C	YNL159C_mRNA	YNL159C	ASI2	855563
YFR048W	YFR048W_mRNA	YFR048W	RMD8	850609
