Gene stable ID	RefSeq peptide ID
ENSDARG00000054975	
ENSDARG00000035540	
ENSDARG00000094125	NP_001034712
ENSDARG00000062801	
ENSDARG00000061120	NP_001008585
ENSDARG00000073870	
ENSDARG00000101300	NP_001138265
ENSDARG00000098510	
ENSDARG00000092249	
ENSDARG00000068716	NP_001070929
ENSDARG00000014954	NP_001116327
ENSDARG00000055781	
ENSDARG00000061187	NP_001073653
ENSDARG00000038863	
ENSDARG00000104807	
ENSDARG00000098510	NP_001108399
ENSDARG00000021163	NP_571415
ENSDARG00000014954	
ENSDARG00000075795	
ENSDARG00000020618	NP_001017662
ENSDARG00000094025	
ENSDARG00000101102	
ENSDARG00000078162	
ENSDARG00000095324	
ENSDARG00000038863	NP_001017777
ENSDARG00000094710	
ENSDARG00000068716	
ENSDARG00000076248	
ENSDARG00000042520	NP_001243557
ENSDARG00000071662	
ENSDARG00000078475	
ENSDARG00000035821	NP_001037785
ENSDARG00000005462	NP_957117
ENSDARG00000090697	
ENSDARG00000055837	NP_001038313
ENSDARG00000043492	NP_001035442
ENSDARG00000070774	NP_001307352
ENSDARG00000074387	
ENSDARG00000093658	
ENSDARG00000070774	
ENSDARG00000099439	NP_956328
ENSDARG00000093845	
ENSDARG00000063451	
ENSDARG00000069649	NP_001122172
ENSDARG00000038543	NP_999874
ENSDARG00000030656	NP_001019589
ENSDARG00000011897	
ENSDARG00000032577	
ENSDARG00000099439	
ENSDARG00000030656	
ENSDARG00000105714	
ENSDARG00000005318	NP_001007370
ENSDARG00000104398	
ENSDARG00000028976	NP_956361
ENSDARG00000012987	NP_658909
ENSDARG00000005462	
ENSDARG00000078618	
ENSDARG00000067794	
ENSDARG00000070074	
ENSDARG00000095908	
ENSDARG00000104654	NP_001122249
ENSDARG00000096663	
ENSDARG00000077728	NP_001077033
ENSDARG00000011537	NP_001070111
ENSDARG00000070074	NP_001243322
ENSDARG00000028976	
ENSDARG00000003592	NP_001073642
ENSDARG00000102296	
ENSDARG00000095908	NP_001002169
ENSDARG00000038213	NP_001004583
ENSDARG00000019877	NP_001002117
ENSDARG00000011537	
ENSDARG00000031387	NP_705956
ENSDARG00000073750	NP_001002142
ENSDARG00000063626	
ENSDARG00000078814	
ENSDARG00000063626	NP_001120807
ENSDARG00000053630	
ENSDARG00000068678	
ENSDARG00000101654	
ENSDARG00000062472	NP_001038410
ENSDARG00000079857	
ENSDARG00000078592	
ENSDARG00000068678	NP_001333169
ENSDARG00000105657	
ENSDARG00000023479	
ENSDARG00000070958	
ENSDARG00000073750	
ENSDARG00000090730	NP_001077327
ENSDARG00000067925	
ENSDARG00000019307	NP_997730
ENSDARG00000078227	
ENSDARG00000002394	NP_001170967
ENSDARG00000060282	NP_001295485
ENSDARG00000069817	NP_001092713
